version,size,arr0,arr1,arr2,arr3,time_alloc,time_init,time_seq_baseline,time_thread_create,time_compute,time_thread_join,time_cleanup,time_total,verification,user
parallel_unpadded,100000000,90000000,90000000,90000000,90000000,0.000021,0.881562,0.0,0.000000,0.216226,0.062735,0.000000,1.160544,PASS,phoebus
parallel_padded,100000000,90000000,90000000,90000000,90000000,0.000022,0.867914,0.0,0.000000,0.223457,0.061339,0.000000,1.152732,PASS,phoebus
parallel_local_accum,100000000,90000000,90000000,90000000,90000000,0.000023,0.860586,0.0,0.000000,0.065009,0.064572,0.000000,0.990190,PASS,phoebus
sequential,100000,90000,90000,90000,90000,0.000024,0.000896,0.0,0.0,0.000190,0.0,0.0,0.001180,PASS,phoebus
parallel_unpadded,100000,90000,90000,90000,90000,0.000026,0.000827,0.0,0.000000,0.000698,0.000127,0.000000,0.001678,PASS,phoebus
parallel_padded,100000,90000,90000,90000,90000,0.000023,0.000876,0.0,0.000000,0.000368,0.000081,0.000000,0.001348,PASS,phoebus
parallel_local_accum,100000,90000,90000,90000,90000,0.000021,0.000904,0.0,0.000000,0.000264,0.000095,0.000000,0.001284,PASS,phoebus
sequential,1000000,900000,900000,900000,900000,0.000031,0.009455,0.0,0.0,0.002316,0.0,0.0,0.012964,PASS,phoebus
parallel_unpadded,1000000,900000,900000,900000,900000,0.000022,0.017897,0.0,0.000000,0.004554,0.000693,0.000000,0.023166,PASS,phoebus
parallel_padded,1000000,900000,900000,900000,900000,0.000026,0.014983,0.0,0.000000,0.003225,0.000838,0.000000,0.019072,PASS,phoebus
parallel_local_accum,1000000,900000,900000,900000,900000,0.000021,0.011214,0.0,0.000000,0.001062,0.000822,0.000000,0.013119,PASS,phoebus
sequential,10000000,9000000,9000000,9000000,9000000,0.000022,0.085921,0.0,0.0,0.016011,0.0,0.0,0.107542,PASS,phoebus
parallel_unpadded,10000000,9000000,9000000,9000000,9000000,0.000022,0.084966,0.0,0.000000,0.030316,0.005837,0.000000,0.121141,PASS,phoebus
parallel_padded,10000000,9000000,9000000,9000000,9000000,0.000022,0.083224,0.0,0.000000,0.013904,0.005820,0.000000,0.102970,PASS,phoebus
parallel_local_accum,10000000,9000000,9000000,9000000,9000000,0.000021,0.084917,0.0,0.000000,0.008600,0.006050,0.000000,0.099588,PASS,phoebus
sequential,50000000,45000000,45000000,45000000,45000000,0.000043,0.461381,0.0,0.0,0.097109,0.0,0.0,0.591589,PASS,phoebus
parallel_unpadded,50000000,45000000,45000000,45000000,45000000,0.000024,0.448143,0.0,0.000000,0.121988,0.032322,0.000000,0.602477,PASS,phoebus
parallel_padded,50000000,45000000,45000000,45000000,45000000,0.000021,0.431222,0.0,0.000000,0.136484,0.031045,0.000000,0.598772,PASS,phoebus
parallel_local_accum,50000000,45000000,45000000,45000000,45000000,0.000025,0.426268,0.0,0.000000,0.034753,0.032231,0.000000,0.493277,PASS,phoebus
sequential,100000000,90000000,90000000,90000000,90000000,0.000025,0.852632,0.0,0.0,0.161609,0.0,0.0,1.075804,PASS,phoebus
parallel_unpadded,100000000,90000000,90000000,90000000,90000000,0.000025,0.875764,0.0,0.000000,0.185892,0.061040,0.000000,1.122721,PASS,phoebus
parallel_padded,100000000,90000000,90000000,90000000,90000000,0.000022,0.878611,0.0,0.000000,0.268845,0.063975,0.000000,1.211453,PASS,phoebus
parallel_local_accum,100000000,90000000,90000000,90000000,90000000,0.000025,0.862323,0.0,0.000000,0.073621,0.061898,0.000000,0.997867,PASS,phoebus
sequential,100000,90000,90000,90000,90000,0.000021,0.000873,0.0,0.0,0.000148,0.0,0.0,0.001121,PASS,phoebus
parallel_unpadded,100000,90000,90000,90000,90000,0.000021,0.000842,0.0,0.000000,0.000593,0.000104,0.000000,0.001560,PASS,phoebus
parallel_padded,100000,90000,90000,90000,90000,0.000022,0.000830,0.0,0.000000,0.000440,0.000089,0.000000,0.001381,PASS,phoebus
parallel_local_accum,100000,90000,90000,90000,90000,0.000030,0.001709,0.0,0.000000,0.000274,0.000146,0.000000,0.002159,PASS,phoebus
sequential,1000000,900000,900000,900000,900000,0.000032,0.012517,0.0,0.0,0.002033,0.0,0.0,0.016232,PASS,phoebus
parallel_unpadded,1000000,900000,900000,900000,900000,0.000025,0.012310,0.0,0.000000,0.004286,0.000729,0.000000,0.017350,PASS,phoebus
parallel_padded,1000000,900000,900000,900000,900000,0.000025,0.014819,0.0,0.000000,0.003660,0.002691,0.000000,0.021195,PASS,phoebus
parallel_local_accum,1000000,900000,900000,900000,900000,0.000032,0.010998,0.0,0.000000,0.003787,0.001469,0.000000,0.016286,PASS,phoebus
sequential,10000000,9000000,9000000,9000000,9000000,0.000032,0.093034,0.0,0.0,0.016938,0.0,0.0,0.116311,PASS,phoebus
parallel_unpadded,10000000,9000000,9000000,9000000,9000000,0.000024,0.104973,0.0,0.000000,0.033264,0.005866,0.000000,0.144127,PASS,phoebus
parallel_padded,10000000,9000000,9000000,9000000,9000000,0.000025,0.085496,0.0,0.000000,0.028649,0.006339,0.000000,0.120509,PASS,phoebus
parallel_local_accum,10000000,9000000,9000000,9000000,9000000,0.000028,0.090546,0.0,0.000000,0.021220,0.008338,0.000000,0.120132,PASS,phoebus
sequential,50000000,45000000,45000000,45000000,45000000,0.000022,0.466859,0.0,0.0,0.093528,0.0,0.0,0.591832,PASS,phoebus
parallel_unpadded,50000000,45000000,45000000,45000000,45000000,0.000023,0.431232,0.0,0.000000,0.144304,0.053264,0.000000,0.628823,PASS,phoebus
parallel_padded,50000000,45000000,45000000,45000000,45000000,0.000025,0.429742,0.0,0.000000,0.072383,0.032391,0.000000,0.534541,PASS,phoebus
parallel_local_accum,50000000,45000000,45000000,45000000,45000000,0.000023,0.434471,0.0,0.000000,0.037852,0.031469,0.000000,0.503815,PASS,phoebus
sequential,100000000,90000000,90000000,90000000,90000000,0.000028,0.916597,0.0,0.0,0.183658,0.0,0.0,1.165882,PASS,phoebus
parallel_unpadded,100000000,90000000,90000000,90000000,90000000,0.000024,0.855485,0.0,0.000000,0.331182,0.060986,0.000000,1.247677,PASS,phoebus
parallel_padded,100000000,90000000,90000001,90000000,90000000,0.000024,0.886690,0.0,0.000000,0.222919,0.060947,0.000000,1.170580,PASS,phoebus
parallel_local_accum,100000000,90000000,90000000,90000000,90000000,0.000023,0.871407,0.0,0.000000,0.071927,0.061493,0.000000,1.004850,PASS,phoebus
sequential,100000,90000,90000,90000,90000,0.000020,0.000863,0.0,0.0,0.000182,0.0,0.0,0.001149,PASS,phoebus
parallel_unpadded,100000,90000,90000,90000,90000,0.000022,0.000849,0.0,0.000000,0.000616,0.000096,0.000000,0.001583,PASS,phoebus
parallel_padded,100000,90000,90000,90000,90000,0.000019,0.001355,0.0,0.000000,0.000412,0.000079,0.000000,0.001865,PASS,phoebus
parallel_local_accum,100000,90000,90000,90000,90000,0.000026,0.002871,0.0,0.000000,0.000290,0.000077,0.000000,0.003264,PASS,phoebus
sequential,1000000,900000,900000,900000,900000,0.000026,0.009082,0.0,0.0,0.002653,0.0,0.0,0.012380,PASS,phoebus
parallel_unpadded,1000000,900000,900000,900000,900000,0.000024,0.010561,0.0,0.000000,0.003296,0.000838,0.000000,0.014719,PASS,phoebus
parallel_padded,1000000,900000,900000,900000,900000,0.000022,0.010657,0.0,0.000000,0.003143,0.001213,0.000000,0.015035,PASS,phoebus
parallel_local_accum,1000000,900000,900000,900000,900000,0.000021,0.008587,0.0,0.000000,0.001086,0.000606,0.000000,0.010300,PASS,phoebus
sequential,10000000,9000000,9000000,9000000,9000000,0.000022,0.089924,0.0,0.0,0.018323,0.0,0.0,0.114030,PASS,phoebus
parallel_unpadded,10000000,9000000,9000000,9000000,9000000,0.000026,0.086049,0.0,0.000000,0.035568,0.006573,0.000000,0.128216,PASS,phoebus
parallel_padded,10000000,9000000,9000000,9000000,9000000,0.000021,0.086155,0.0,0.000000,0.013898,0.005711,0.000000,0.105785,PASS,phoebus
parallel_local_accum,10000000,9000000,9000000,9000000,9000000,0.000021,0.097243,0.0,0.000000,0.008923,0.005684,0.000000,0.111871,PASS,phoebus
sequential,50000000,45000000,45000000,45000000,45000000,0.000023,0.455405,0.0,0.0,0.101838,0.0,0.0,0.588516,PASS,phoebus
parallel_unpadded,50000000,45000000,45000000,45000000,45000000,0.000023,0.447159,0.0,0.000000,0.168001,0.037175,0.000000,0.652358,PASS,phoebus
