user,threads,trans,scheme,accounts,query_pct,seq_ms,par_ms,speedup_pct
marr,4,20000,coarse,100,10,1.3137999999999999,3.853,-65.90189462756294
marr,4,20000,fine,100,10,1.3137999999999999,3.9796000000000005,-66.9866318222937
marr,4,20000,rwlock,100,10,1.3137999999999999,5.1296,-74.38786650031192
marr,4,20000,coarse,100,50,1.4102,2.6398,-46.579286309568914
marr,4,20000,fine,100,50,1.4102,2.0001999999999995,-29.497050294970496
marr,4,20000,rwlock,100,50,1.4102,7.757999999999999,-81.82263469966486
marr,4,20000,coarse,100,90,1.347,5.4164,-75.13108337641238
marr,4,20000,fine,100,90,1.347,1.7260000000000002,-21.9582850521437
marr,4,20000,rwlock,100,90,1.347,7.3402,-81.64900138960792
marr,4,20000,coarse,1000,10,1.1426,2.6144000000000003,-56.295899632802936
marr,4,20000,fine,1000,10,1.1426,4.307799999999999,-73.47602024235108
marr,4,20000,rwlock,1000,10,1.1426,3.44,-66.78488372093024
marr,4,20000,coarse,1000,50,2.6478,6.8378,-61.27701892421539
marr,4,20000,fine,1000,50,2.6478,1.2147999999999999,117.96180441224897
marr,4,20000,rwlock,1000,50,2.6478,1.7412,52.067539627842876
marr,4,20000,coarse,1000,90,2.9027999999999996,11.265,-74.23169107856192
marr,4,20000,fine,1000,90,2.9027999999999996,3.4709999999999996,-16.36992221261885
marr,4,20000,rwlock,1000,90,2.9027999999999996,1.5598,86.10078215155785
marr,4,20000,coarse,10000,10,2.2206,2.0786,6.831521216203229
marr,4,20000,fine,10000,10,2.2206,1.3545999999999998,63.93031153107931
marr,4,20000,rwlock,10000,10,2.2206,3.3923999999999994,-34.541917226742115
marr,4,20000,coarse,10000,50,2.1850000000000005,4.6882,-53.39362655176827
marr,4,20000,fine,10000,50,2.1850000000000005,1.4854,47.09842466675644
marr,4,20000,rwlock,10000,50,2.1850000000000005,3.4437999999999995,-36.55264533364305
marr,4,20000,coarse,10000,90,2.9362,6.1536,-52.284841393655746
marr,4,20000,fine,10000,90,2.9362,2.8016,4.804397487150203
marr,4,20000,rwlock,10000,90,2.9362,4.2092,-30.24327663213913
marr,4,40000,coarse,100,10,2.459,4.0748,-39.65347992539511
marr,4,40000,fine,100,10,2.459,5.960999999999999,-58.7485321254823
marr,4,40000,rwlock,100,10,2.459,13.172600000000001,-81.33246283953054
marr,4,40000,coarse,100,50,3.3194,5.7622,-42.393530248863286
marr,4,40000,fine,100,50,3.3194,10.781600000000001,-69.21236180158789
marr,4,40000,rwlock,100,50,3.3194,17.6744,-81.21916444122573
marr,4,40000,coarse,100,90,2.883,8.3436,-65.4465698259744
marr,4,40000,fine,100,90,2.883,2.7328,5.496194379391106
marr,4,40000,rwlock,100,90,2.883,12.586400000000001,-77.09432403228882
marr,4,40000,coarse,1000,10,3.5544000000000002,4.592600000000001,-22.60593128075601
marr,4,40000,fine,1000,10,3.5544000000000002,2.4856000000000003,42.99967814612167
marr,4,40000,rwlock,1000,10,3.5544000000000002,4.2794,-16.94162733093424
marr,4,40000,coarse,1000,50,3.2058000000000004,7.089199999999999,-54.77910060373525
marr,4,40000,fine,1000,50,3.2058000000000004,3.4790000000000005,-7.85283127335441
marr,4,40000,rwlock,1000,50,3.2058000000000004,2.627,22.03273696231445
marr,4,40000,coarse,1000,90,3.0394,15.432999999999998,-80.30583813905268
marr,4,40000,fine,1000,90,3.0394,2.1648,40.4009608277901
marr,4,40000,rwlock,1000,90,3.0394,2.6792000000000002,13.444311734846238
marr,4,40000,coarse,10000,10,4.264600000000001,4.540799999999999,-6.082628611698359
marr,4,40000,fine,10000,10,4.264600000000001,7.4854,-43.02776070751062
marr,4,40000,rwlock,10000,10,4.264600000000001,5.43,-21.462246777163895
marr,4,40000,coarse,10000,50,2.8062,11.8286,-76.27614426052111
marr,4,40000,fine,10000,50,2.8062,3.6898,-23.947097403653316
marr,4,40000,rwlock,10000,50,2.8062,5.0922,-44.892188052315305
marr,4,40000,coarse,10000,90,3.0378000000000003,8.163,-62.78574053656744
marr,4,40000,fine,10000,90,3.0378000000000003,8.1184,-62.58129680725266
marr,4,40000,rwlock,10000,90,3.0378000000000003,6.115799999999999,-50.328656921416645
marr,4,80000,coarse,100,10,7.3296,4.252000000000001,72.38005644402632
marr,4,80000,fine,100,10,7.3296,17.885,-59.01817165222254
marr,4,80000,rwlock,100,10,7.3296,23.5298,-68.84971397971933
marr,4,80000,coarse,100,50,6.2844,13.452,-53.28278322925959
marr,4,80000,fine,100,50,6.2844,15.251999999999999,-58.79622344610542
marr,4,80000,rwlock,100,50,6.2844,31.125599999999995,-79.80954584008019
marr,4,80000,coarse,100,90,7.4734,9.2412,-19.12955027485608
marr,4,80000,fine,100,90,7.4734,13.4016,-44.23501671442216
marr,4,80000,rwlock,100,90,7.4734,20.6664,-63.83792048929664
marr,4,80000,coarse,1000,10,7.054,7.6966,-8.349141179221997
marr,4,80000,fine,1000,10,7.054,8.5428,-17.42754132134663
marr,4,80000,rwlock,1000,10,7.054,5.9074,19.409554118563154
marr,4,80000,coarse,1000,50,5.4056,15.695999999999998,-65.56065239551478
marr,4,80000,fine,1000,50,5.4056,11.6626,-53.65012947370226
marr,4,80000,rwlock,1000,50,5.4056,14.1006,-61.66404266485114
marr,4,80000,coarse,1000,90,9.620400000000002,8.8136,9.15403467368614
marr,4,80000,fine,1000,90,9.620400000000002,4.9166,95.6718057193996
marr,4,80000,rwlock,1000,90,9.620400000000002,6.449800000000001,49.158113429873794
marr,4,80000,coarse,10000,10,5.777,10.2638,-43.714803484089714
