barrier_type,iterations,threads,time_init,time_thread_create,time_compute,time_thread_join,time_cleanup,time_total,user
pthread,50000,8,0.000009,0.000188,1.321143,0.000000,0.000000,1.321341,phoebus
cond_var,50000,8,0.000010,0.000184,1.752967,0.000000,0.000000,1.753161,phoebus
sense_reversal,50000,8,0.000010,0.000232,3.340123,0.000000,0.000000,3.340365,phoebus
pthread,100000,2,0.000011,0.000056,1.053222,0.000000,0.000000,1.053289,phoebus
cond_var,100000,2,0.000009,0.000061,0.936677,0.000000,0.000000,0.936747,phoebus
sense_reversal,100000,2,0.000010,0.000055,0.092767,0.000000,0.000001,0.092833,phoebus
pthread,100000,4,0.000009,0.000105,1.440292,0.000000,0.000000,1.440407,phoebus
cond_var,100000,4,0.000013,0.000155,1.541191,0.000001,0.000000,1.541360,phoebus
sense_reversal,100000,4,0.000009,0.000166,0.630127,0.000000,0.000001,0.630303,phoebus
pthread,100000,8,0.000009,0.000248,2.441583,0.000001,0.000000,2.441841,phoebus
cond_var,100000,8,0.000010,0.000222,3.117072,0.000000,0.000000,3.117304,phoebus
sense_reversal,100000,8,0.000010,0.000248,6.747356,0.000000,0.000000,6.747614,phoebus
pthread,10000,2,0.000012,0.000054,0.131398,0.000000,0.000000,0.131465,phoebus
cond_var,10000,2,0.000009,0.000085,0.105510,0.000000,0.000001,0.105605,phoebus
sense_reversal,10000,2,0.000009,0.000057,0.012346,0.000000,0.000000,0.012412,phoebus
pthread,10000,4,0.000009,0.000131,0.168169,0.000000,0.000000,0.168309,phoebus
cond_var,10000,4,0.000009,0.000179,0.196795,0.000000,0.000000,0.196983,phoebus
sense_reversal,10000,4,0.000010,0.000184,0.069564,0.000000,0.000000,0.069758,phoebus
pthread,10000,8,0.000019,0.000420,0.269966,0.000001,0.000000,0.270406,phoebus
cond_var,10000,8,0.000011,0.000182,0.366831,0.000000,0.000000,0.367024,phoebus
sense_reversal,10000,8,0.000010,0.000256,0.639117,0.000000,0.000001,0.639384,phoebus
pthread,50000,2,0.000010,0.000057,0.628081,0.000001,0.000000,0.628149,phoebus
cond_var,50000,2,0.000020,0.000108,0.508036,0.000000,0.000000,0.508164,phoebus
sense_reversal,50000,2,0.000009,0.000054,0.046542,0.000001,0.000000,0.046606,phoebus
pthread,50000,4,0.000011,0.000126,0.703296,0.000000,0.000000,0.703434,phoebus
cond_var,50000,4,0.000009,0.000114,0.723709,0.000001,0.000000,0.723833,phoebus
sense_reversal,50000,4,0.000010,0.000124,0.295109,0.000000,0.000000,0.295243,phoebus
pthread,50000,8,0.000010,0.000278,1.147986,0.000001,0.000000,1.148275,phoebus
cond_var,50000,8,0.000011,0.000205,1.602701,0.000000,0.000000,1.602917,phoebus
sense_reversal,50000,8,0.000010,0.000283,3.313120,0.000000,0.000000,3.313413,phoebus
pthread,100000,2,0.000047,0.000061,0.961926,0.000000,0.000000,0.962034,phoebus
cond_var,100000,2,0.000010,0.000068,1.188571,0.000000,0.000000,1.188649,phoebus
sense_reversal,100000,2,0.000017,0.000083,0.098403,0.000000,0.000000,0.098503,phoebus
pthread,100000,4,0.000011,0.000133,1.819699,0.000000,0.000000,1.819843,phoebus
cond_var,100000,4,0.000009,0.000102,1.611123,0.000000,0.000000,1.611234,phoebus
sense_reversal,100000,4,0.000012,0.000127,0.581604,0.000000,0.000001,0.581744,phoebus
pthread,100000,8,0.000015,0.000287,2.572637,0.000000,0.000000,2.572939,phoebus
cond_var,100000,8,0.000010,0.000185,3.103093,0.000000,0.000000,3.103288,phoebus
sense_reversal,100000,8,0.000042,0.000217,6.428426,0.000000,0.000000,6.428685,phoebus
pthread,10000,2,0.000009,0.000055,0.039176,0.000000,0.000000,0.039241,phoebus
cond_var,10000,2,0.000010,0.000064,0.098606,0.000000,0.000001,0.098681,phoebus
sense_reversal,10000,2,0.000010,0.000059,0.009955,0.000000,0.000000,0.010024,phoebus
pthread,10000,4,0.000009,0.000103,0.140615,0.000001,0.000000,0.140728,phoebus
cond_var,10000,4,0.000010,0.000153,0.167523,0.000000,0.000000,0.167686,phoebus
sense_reversal,10000,4,0.000010,0.000105,0.086941,0.000000,0.000000,0.087056,phoebus
