user,barrier_type,iterations,threads,mean_compute_time,std_compute_time,mean_total_time,runs
marr,pthread,10000,2,0.6462966666666666,0.03869910104037732,0.6464150000000001,3
marr,pthread,10000,4,1.1608226666666666,0.15070859555557314,1.1611070000000001,3
marr,pthread,10000,8,2.3463046666666667,0.14555331934495117,2.3516573333333333,3
marr,pthread,50000,2,4.0860753333333335,0.35710482323308573,4.087716333333334,3
marr,pthread,50000,4,6.9302686666666675,2.274155145458272,6.930569333333334,3
marr,pthread,50000,8,13.485039333333333,3.829847047460555,13.505267666666667,3
marr,pthread,100000,2,7.655229,0.42131401922081824,7.655357,2
marr,pthread,100000,4,10.08381,0.17592251030496345,10.0841865,2
marr,pthread,100000,8,22.104505500000002,1.2267079358855142,22.110416,2
marr,cond_var,10000,2,0.7362376666666667,0.09204899620491977,0.736385,3
marr,cond_var,10000,4,1.3741923333333332,0.09943698093432515,1.3746859999999999,3
marr,cond_var,10000,8,8.028421666666667,0.29640430362316517,8.031687666666667,3
marr,cond_var,50000,2,4.919332999999999,2.0290114301346356,4.919527333333334,3
marr,cond_var,50000,4,8.339498999999998,1.8037337315460398,8.339812,3
marr,cond_var,50000,8,37.22045133333334,1.1210963779895704,37.22258166666666,3
marr,cond_var,100000,2,7.7755495,0.28271755457434933,7.777447,2
marr,cond_var,100000,4,13.42675,0.24292794889020006,13.4269325,2
marr,cond_var,100000,8,70.52354299999999,3.6077507214953215,70.524024,2
marr,sense_reversal,10000,2,0.008454999999999999,0.003187088483239836,0.00863,3
marr,sense_reversal,10000,4,0.47894600000000004,0.025858427001656567,0.4792003333333333,3
marr,sense_reversal,10000,8,44.101873000000005,23.65881685801154,44.10269466666667,3
marr,sense_reversal,50000,2,0.036922,0.015442021532169939,0.03810366666666667,3
marr,sense_reversal,50000,4,4.545695333333333,4.245139058581277,4.545888000000001,3
marr,sense_reversal,50000,8,132.19236466666666,6.7429450413887615,132.193137,3
marr,sense_reversal,100000,2,0.0520265,0.007346132349747044,0.052167500000000006,2
marr,sense_reversal,100000,4,4.436957,0.2879918640552191,4.437196,2
marr,sense_reversal,100000,8,262.647601,,262.650105,1
phoebus,pthread,10000,2,0.086039,0.03711352454294796,0.0861042,5
phoebus,pthread,10000,4,0.14836839999999998,0.019866896091236794,0.14849320000000002,5
phoebus,pthread,10000,8,0.20268480000000003,0.02737940500083959,0.20288520000000002,5
phoebus,pthread,50000,2,0.46126680000000003,0.02058394130627077,0.4613522,5
phoebus,pthread,50000,4,0.6696972,0.02081455886392984,0.6698174,5
phoebus,pthread,50000,8,1.0798349999999999,0.08595054593194859,1.0800513999999999,5
phoebus,pthread,100000,2,0.9200456000000001,0.021736095585454134,0.9201219999999999,5
phoebus,pthread,100000,4,1.362791,0.06372501757159424,1.3629168,5
phoebus,pthread,100000,8,2.1699494,0.13778012753949678,2.1701544,5
phoebus,cond_var,10000,2,0.10617760000000001,0.010090733858347474,0.1062508,5
phoebus,cond_var,10000,4,0.1439472,0.013857127397119504,0.144065,5
phoebus,cond_var,10000,8,0.27850379999999997,0.03835113281508123,0.27869160000000004,5
phoebus,cond_var,50000,2,0.486046,0.020519014705877078,0.4861034,5
phoebus,cond_var,50000,4,0.6871122000000001,0.015959455698738596,0.6872296,5
phoebus,cond_var,50000,8,1.434099,0.04970683532976123,1.4343090000000003,5
phoebus,cond_var,100000,2,1.0320776,0.2394885062133463,1.0321364,5
phoebus,cond_var,100000,4,1.3838972,0.08313171233169685,1.3840146,5
phoebus,cond_var,100000,8,2.9435384000000004,0.3464838740205668,2.9437406000000004,5
phoebus,sense_reversal,10000,2,0.010768199999999999,0.002560444629356393,0.0108266,5
phoebus,sense_reversal,10000,4,0.0567372,0.012837135455388792,0.0568608,5
phoebus,sense_reversal,10000,8,0.637142,0.0510514314343878,0.637368,5
phoebus,sense_reversal,50000,2,0.046453,0.0023745137396949303,0.0465196,5
phoebus,sense_reversal,50000,4,0.2606756,0.04658101322212732,0.26080760000000003,5
phoebus,sense_reversal,50000,8,2.9984987999999997,0.04877840877068468,2.9987184000000005,5
phoebus,sense_reversal,100000,2,0.0939266,0.005197582159042801,0.0939894,5
phoebus,sense_reversal,100000,4,0.5433046000000001,0.05383807043161932,0.5434268,5
phoebus,sense_reversal,100000,8,6.493511,0.6833710883059805,6.493756,5
