n,procs,sparsity,reps,nnz,time_csr_construct,time_send,time_spmv,time_csr_total,time_dense_total,verification,user
1000,2,0,1,1000000,0.009941,0.010759,0.000637,0.021338,0.005178,PASS,marr
1000,4,0,1,1000000,0.009781,0.009902,0.000348,0.020031,0.005058,PASS,marr
1000,sequential,0,5,1000000,0.010021,0.008882,0.005594,0.024497,0.009207,PASS,marr
1000,2,0,5,1000000,0.010134,0.009272,0.003741,0.023147,0.008278,PASS,marr
1000,4,0,5,1000000,0.009886,0.009821,0.001800,0.021507,0.006023,PASS,marr
1000,sequential,90,1,99877,0.006594,0.001471,0.000212,0.008277,0.009038,PASS,marr
1000,2,90,1,99877,0.003779,0.000978,0.000081,0.004838,0.005120,PASS,marr
1000,4,90,1,99877,0.003607,0.001132,0.000119,0.004858,0.005002,PASS,marr
1000,sequential,90,5,99877,0.006294,0.001516,0.001179,0.008989,0.016589,PASS,marr
1000,2,90,5,99877,0.003599,0.001044,0.000313,0.004955,0.008389,PASS,marr
1000,4,90,5,99877,0.005103,0.005721,0.000954,0.011779,0.006118,PASS,marr
1000,sequential,99,1,9838,0.002988,0.000218,0.000054,0.003259,0.009212,PASS,marr
1000,2,99,1,9838,0.002460,0.000232,0.000036,0.002728,0.005308,PASS,marr
1000,4,99,1,9838,0.001731,0.000250,0.000103,0.002083,0.005065,PASS,marr
1000,sequential,99,5,9838,0.002992,0.000158,0.000152,0.003301,0.015974,PASS,marr
1000,2,99,5,9838,0.002577,0.000223,0.000107,0.002908,0.007838,PASS,marr
1000,4,99,5,9838,0.001926,0.000382,0.000083,0.002391,0.006720,PASS,marr
2000,sequential,0,1,4000000,0.052825,0.066468,0.004397,0.123690,0.040339,PASS,marr
2000,2,0,1,4000000,0.038432,0.038569,0.002207,0.079208,0.021433,PASS,marr
2000,4,0,1,4000000,0.039162,0.041620,0.001299,0.082080,0.021795,PASS,marr
2000,sequential,0,5,4000000,0.040644,0.035898,0.022106,0.098648,0.040815,PASS,marr
2000,2,0,5,4000000,0.039544,0.037102,0.011336,0.087982,0.032323,PASS,marr
2000,4,0,5,4000000,0.038855,0.039794,0.006455,0.085104,0.029885,PASS,marr
2000,sequential,90,1,400283,0.015208,0.003384,0.000449,0.019041,0.022408,PASS,marr
2000,2,90,1,400283,0.015672,0.003829,0.000271,0.019772,0.021283,PASS,marr
2000,4,90,1,400283,0.014173,0.004007,0.000252,0.018431,0.020179,PASS,marr
2000,sequential,90,5,400283,0.015194,0.003414,0.002230,0.020837,0.038948,PASS,marr
2000,2,90,5,400283,0.014371,0.004005,0.001367,0.019744,0.031431,PASS,marr
2000,4,90,5,400283,0.014227,0.004060,0.000727,0.019014,0.027689,PASS,marr
2000,sequential,99,1,39860,0.007481,0.000459,0.000096,0.008036,0.022135,PASS,marr
2000,2,99,1,39860,0.007815,0.000436,0.000064,0.008315,0.020313,PASS,marr
2000,4,99,1,39860,0.007252,0.000597,0.000068,0.007917,0.021900,PASS,marr
2000,sequential,99,5,39860,0.007432,0.000413,0.000377,0.008222,0.039746,PASS,marr
2000,2,99,5,39860,0.007897,0.000433,0.000221,0.008551,0.028851,PASS,marr
2000,4,99,5,39860,0.007469,0.000594,0.000183,0.008246,0.024102,PASS,marr
