locking_scheme,accounts,query_pct,time_alloc,time_init,time_thread_create,time_compute,time_thread_join,time_cleanup,time_total,user
rwlock,1000,0.9,0.000009,0.000027,0.000296,0.008049,0.000001,0.000000,0.008382,marr
rwlock,10000,0.1,0.000007,0.000274,0.000295,0.007903,0.000035,0.000000,0.008514,marr
rwlock,10000,0.5,0.000009,0.000269,0.000291,0.018517,0.000037,0.000001,0.019124,marr
rwlock,10000,0.9,0.000008,0.003701,0.014947,0.000793,0.000030,0.000000,0.019479,marr
sequential,100,0.1,0.000010,0.000003,0.0,0.005648,0.0,0.0,0.005661,marr
sequential,100,0.5,0.000008,0.000003,0.0,0.014898,0.0,0.0,0.014909,marr
sequential,100,0.9,0.000007,0.000003,0.0,0.009440,0.0,0.0,0.009450,marr
sequential,1000,0.1,0.000009,0.000013,0.0,0.010668,0.0,0.0,0.010691,marr
sequential,1000,0.5,0.000008,0.000013,0.0,0.030443,0.0,0.0,0.030464,marr
sequential,1000,0.9,0.000008,0.000013,0.0,0.009607,0.0,0.0,0.009629,marr
sequential,10000,0.1,0.000010,0.000126,0.0,0.017997,0.0,0.0,0.018133,marr
sequential,10000,0.5,0.000009,0.000121,0.0,0.027696,0.0,0.0,0.027827,marr
sequential,10000,0.9,0.000009,0.000121,0.0,0.009979,0.0,0.0,0.010110,marr
coarse,100,0.1,0.000008,0.000003,0.014378,0.056681,0.000000,0.000001,0.071071,marr
coarse,100,0.5,0.000009,0.000004,0.013258,0.011021,0.000000,0.000000,0.024292,marr
coarse,100,0.9,0.000009,0.000004,0.012937,0.036429,0.000000,0.000000,0.049379,marr
coarse,1000,0.1,0.000009,0.000013,0.023716,0.004998,0.000000,0.000000,0.028736,marr
coarse,1000,0.5,0.000015,0.000014,0.009904,0.005140,0.000000,0.000000,0.015073,marr
coarse,1000,0.9,0.000010,0.000013,0.000185,0.035152,0.000000,0.000001,0.035361,marr
coarse,10000,0.1,0.000009,0.001392,0.013060,0.015185,0.000001,0.000000,0.029647,marr
coarse,10000,0.5,0.000010,0.000118,0.000274,0.013815,0.000000,0.000001,0.014218,marr
coarse,10000,0.9,0.000008,0.000123,0.013202,0.017021,0.000000,0.000000,0.030354,marr
fine,100,0.1,0.000014,0.000006,0.020186,0.021174,0.000000,0.000000,0.041380,marr
fine,100,0.5,0.000009,0.000005,0.026770,0.007055,0.000001,0.000000,0.033840,marr
fine,100,0.9,0.000008,0.000005,0.004550,0.010216,0.000000,0.000000,0.014779,marr
