degree,threads,time_alloc,time_init,time_thread_create,time_compute,time_join,time_reduce,time_verify,time_cleanup,time_total,verification,user
100000,8,0.000000,0.000000,0.153361,0.259845,1.761330,0.000000,0.000000,0.000000,2.174598,PASS,phoebus
100000,16,0.000000,0.000000,0.024304,0.159097,2.136021,0.000000,0.000000,0.000000,2.319493,PASS,phoebus
5000,sequential,0.000025,0.000062,0.0,0.019038,0.0,0.0,0.0,0.000002,0.019127,PASS,phoebus
5000,1,0.000000,0.000000,0.000000,0.012171,0.000010,0.000000,0.000000,0.000000,0.012201,PASS,phoebus
5000,2,0.000000,0.000000,0.000036,0.005576,0.000020,0.000000,0.000000,0.000000,0.005648,PASS,phoebus
5000,4,0.000000,0.000000,0.000054,0.002325,0.002252,0.000000,0.000000,0.000000,0.004650,PASS,phoebus
5000,8,0.000000,0.000000,0.004553,0.000355,0.004781,0.000000,0.000000,0.000000,0.009719,PASS,phoebus
5000,16,0.000000,0.000000,0.000443,0.000099,0.006514,0.000000,0.000000,0.000000,0.007083,PASS,phoebus
20000,sequential,0.000016,0.000199,0.0,0.189862,0.0,0.0,0.0,0.000030,0.190107,PASS,phoebus
20000,1,0.000000,0.000000,0.000001,0.184624,0.000064,0.000000,0.000000,0.000000,0.184735,PASS,phoebus
20000,2,0.000000,0.000000,0.000112,0.095978,0.001332,0.000000,0.000000,0.000000,0.097492,PASS,phoebus
20000,4,0.000000,0.000000,0.000216,0.028329,0.063551,0.000000,0.000000,0.000000,0.092130,PASS,phoebus
20000,8,0.000000,0.000000,0.006144,0.009457,0.122987,0.000000,0.000000,0.000000,0.138627,PASS,phoebus
20000,16,0.000000,0.000000,0.008711,0.001503,0.135426,0.000000,0.000000,0.000000,0.145687,PASS,phoebus
80000,sequential,0.000018,0.000820,0.0,3.006036,0.0,0.0,0.0,0.000134,3.007008,PASS,phoebus
80000,1,0.000000,0.000000,0.000000,3.016518,0.000258,0.000000,0.000000,0.000000,3.016796,PASS,phoebus
80000,2,0.000000,0.000000,0.000232,1.537449,0.000268,0.000000,0.000000,0.000000,1.537971,PASS,phoebus
80000,4,0.000000,0.000000,0.000387,0.465710,0.909084,0.000000,0.000000,0.000000,1.375266,PASS,phoebus
80000,8,0.000000,0.000000,0.013187,0.256174,1.135262,0.000000,0.000000,0.000000,1.404854,PASS,phoebus
80000,16,0.000000,0.000000,0.019452,0.033365,1.451685,0.000000,0.000000,0.000000,1.504562,PASS,phoebus
100000,sequential,0.000017,0.001106,0.0,4.587829,0.0,0.0,0.0,0.000100,4.589052,PASS,phoebus
100000,1,0.000000,0.000000,0.000000,4.720103,0.000286,0.000000,0.000000,0.000000,4.720400,PASS,phoebus
100000,2,0.000000,0.000000,0.000272,2.456165,0.017427,0.000000,0.000000,0.000000,2.473882,PASS,phoebus
100000,4,0.000000,0.000000,0.000692,0.731895,1.470075,0.000000,0.000000,0.000000,2.202719,PASS,phoebus
100000,8,0.000000,0.000000,0.016590,0.224185,2.215892,0.000000,0.000000,0.000000,2.456728,PASS,phoebus
100000,16,0.000000,0.000000,0.005082,0.134210,1.987632,0.000000,0.000000,0.000000,2.126972,PASS,phoebus
5000,sequential,0.000026,0.000047,0.0,0.013974,0.0,0.0,0.0,0.000001,0.014048,PASS,phoebus
5000,1,0.000000,0.000000,0.000000,0.011541,0.000013,0.000000,0.000000,0.000000,0.011576,PASS,phoebus
5000,2,0.000000,0.000000,0.000037,0.007730,0.000026,0.000000,0.000000,0.000000,0.007812,PASS,phoebus
5000,4,0.000000,0.000000,0.000059,0.002341,0.004438,0.000000,0.000000,0.000000,0.006857,PASS,phoebus
5000,8,0.000000,0.000000,0.002905,0.000338,0.006715,0.000000,0.000000,0.000000,0.009981,PASS,phoebus
5000,16,0.000000,0.000000,0.003736,0.000086,0.002636,0.000000,0.000000,0.000000,0.006497,PASS,phoebus
